"","subj","item","pos","word","RT","newCond","newSubj"
"4006",7,34,0,"Die",852,"a","S101"
"4007",7,34,1,"Cousine",1022,"a","S101"
"4008",7,34,2,"der",794,"a","S101"
"4009",7,34,3,"Schriftstellerin,",1625,"a","S101"
"4010",7,34,4,"die",1025,"a","S101"
"4011",7,34,5,"eine",667,"a","S101"
"4012",7,34,6,"tragische",942,"a","S101"
"4013",7,34,7,"Vergangenheit",684,"a","S101"
"4014",7,34,8,"hatte,",2518,"a","S101"
"4015",7,34,9,"fährt",887,"a","S101"
"4016",7,34,10,"einen",427,"a","S101"
"4017",7,34,11,"BMW.",2388,"a","S101"
"4276",7,33,0,"Die",466,"a","S101"
"4277",7,33,1,"Mentorin",710,"a","S101"
"4278",7,33,2,"der",553,"a","S101"
"4279",7,33,3,"Doktorandin,",965,"a","S101"
"4280",7,33,4,"die",728,"a","S101"
"4281",7,33,5,"zwei",475,"a","S101"
"4282",7,33,6,"kleine",397,"a","S101"
"4283",7,33,7,"Kinder",364,"a","S101"
"4284",7,33,8,"hatte,",1153,"a","S101"
"4285",7,33,9,"war",346,"a","S101"
"4286",7,33,10,"kurz",319,"a","S101"
"4287",7,33,11,"vor",406,"a","S101"
"4288",7,33,12,"dem",331,"a","S101"
"4289",7,33,13,"Verzweifeln.",786,"a","S101"
"4361",7,10,0,"Die",622,"a","S101"
"4362",7,10,1,"Sekretärin",779,"a","S101"
"4363",7,10,2,"der",492,"a","S101"
"4364",7,10,3,"Direktorin,",1588,"a","S101"
"4365",7,10,4,"die",418,"a","S101"
"4366",7,10,5,"außergewöhnlich",449,"a","S101"
"4367",7,10,6,"grosse",430,"a","S101"
"4368",7,10,7,"Ohren",422,"a","S101"
"4369",7,10,8,"hatte,",518,"a","S101"
"4370",7,10,9,"überlegt",368,"a","S101"
"4371",7,10,10,"sich",311,"a","S101"
"4372",7,10,11,"zu",324,"a","S101"
"4373",7,10,12,"kündigen.",6279,"a","S101"
"4386",7,9,0,"Die",820,"a","S101"
"4387",7,9,1,"Trainerin",666,"a","S101"
"4388",7,9,2,"der",366,"a","S101"
"4389",7,9,3,"Athletin,",544,"a","S101"
"4390",7,9,4,"die",456,"a","S101"
"4391",7,9,5,"einen",412,"a","S101"
"4392",7,9,6,"fürchterlichen",399,"a","S101"
"4393",7,9,7,"Schnupfen",657,"a","S101"
"4394",7,9,8,"hatte,",356,"a","S101"
"4395",7,9,9,"verlangte",369,"a","S101"
"4396",7,9,10,"immer",393,"a","S101"
"4397",7,9,11,"maximale",352,"a","S101"
"4398",7,9,12,"Leistung.",981,"a","S101"
"4412",7,21,0,"Die",475,"a","S101"
"4413",7,21,1,"Assistentin",513,"a","S101"
"4414",7,21,2,"der",468,"a","S101"
"4415",7,21,3,"Zahnärztin,",449,"a","S101"
"4416",7,21,4,"die",543,"a","S101"
"4417",7,21,5,"einen",2003,"a","S101"
"4418",7,21,6,"eigenwilligen",279,"a","S101"
"4419",7,21,7,"Haarschnitt",930,"a","S101"
"4420",7,21,8,"hatte,",1110,"a","S101"
"4421",7,21,9,"war",332,"a","S101"
"4422",7,21,10,"sehr",223,"a","S101"
"4423",7,21,11,"selbstbewußt.",733,"a","S101"
"4436",7,22,0,"Die",521,"a","S101"
"4437",7,22,1,"Tutorin",550,"a","S101"
"4438",7,22,2,"der",430,"a","S101"
"4439",7,22,3,"Studentin,",420,"a","S101"
"4440",7,22,4,"die",416,"a","S101"
"4441",7,22,5,"überschäumend",381,"a","S101"
"4442",7,22,6,"gute",383,"a","S101"
"4443",7,22,7,"Laune",360,"a","S101"
"4444",7,22,8,"hatte,",295,"a","S101"
"4445",7,22,9,"hatte",366,"a","S101"
"4446",7,22,10,"die",332,"a","S101"
"4447",7,22,11,"Regelstudienzeit",734,"a","S101"
"4448",7,22,12,"schon",504,"a","S101"
"4449",7,22,13,"lange",324,"a","S101"
"4450",7,22,14,"überschritten.",4444,"a","S101"
"2671",4,13,0,"Die",405,"a","S102"
"2672",4,13,1,"Bedienstete",504,"a","S102"
"2673",4,13,2,"der",460,"a","S102"
"2674",4,13,3,"Gräfin,",501,"a","S102"
"2675",4,13,4,"die",466,"a","S102"
"2676",4,13,5,"extrem",559,"a","S102"
"2677",4,13,6,"laute",461,"a","S102"
"2678",4,13,7,"Kinder",475,"a","S102"
"2679",4,13,8,"hatte,",472,"a","S102"
"2680",4,13,9,"konnte",449,"a","S102"
"2681",4,13,10,"nicht",493,"a","S102"
"2682",4,13,11,"mehr.",410,"a","S102"
"2768",4,12,0,"Die",309,"a","S102"
"2769",4,12,1,"Schwiegertochter",391,"a","S102"
"2770",4,12,2,"der",436,"a","S102"
"2771",4,12,3,"Gittaristin,",434,"a","S102"
"2772",4,12,4,"die",444,"a","S102"
"2773",4,12,5,"einen",402,"a","S102"
"2774",4,12,6,"ausgezeichneten",425,"a","S102"
"2775",4,12,7,"Geschmack",459,"a","S102"
"2776",4,12,8,"hatte,",428,"a","S102"
"2777",4,12,9,"lachte",495,"a","S102"
"2778",4,12,10,"eigentlich",432,"a","S102"
"2779",4,12,11,"ständig.",362,"a","S102"
